h_number,facine3,p2_1,p2_5,p2_8,p2_32,p2_69,p2_70,p2_71,p2_82,p2_84,p4_7_3,p4_10,p4_15,p4_24,p4_27,p4_33,p4_35,renthog,percrent,bage,nsitlabdom,neducdom,np2_1,nnumadtrab,np1,valhog,havenegval,tienereal,np4_5,np4_18,cuentas,penseg,sideuda,tienefin,tiene,otraspr,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,otrasd,potrasd,adeuda,vdeuda,actreales,actfinanc,riquezabr,riquezanet,percriq,deuveh,deubie,deuinvref,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1,4557.57081899387,2,120000,1,2,2,,3600,2,,1500,2,,,2,2,,30540.4,3.4,3,1,1,1,1,4,0,0,1,1,0,0,1,0,1,1,0,0,0,1081,0,30000,0,0,1,30000,0,0,0,0,0,0,1,30000,90000,2581,122581,92581,2,0,0,0,372,4320,10080,0,0,1,3000,0,1,1,2,1,2,372,120000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,30000,0,1081
2,144.482336283186,3,,,1,2,,9000,2,,3716.8,1,3600,108084.4,1,2,,25562.6,3,2,4,2,0,1,3,240000,1,1,1,1,0.2,0,0,1,1,150000,4800,263,0,0,0,0,0,0,0,1,44089.4,0,0,0,0,1,44089.4,150000,120464.2,510464.2,466374.8,5,0,0,44089.4,900,7200,7200,0,0,1,3700,1,0,2,3,,3,0,,,0,1,1,,,5,,,,4,900,1100,,,0,,2,,37500,0,61.6,,,0,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,116484.4,0,1,0
3,212.477871369805,2,125459,,2,2,,12000,2,,1200,2,,,2,2,,10700,1,6,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125459,1200,126659,126659,2.8,0,0,0,0,3600,4200,0,0,0,0,1,1,1,2,1,2,0,125459,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
4,15.2127338541468,2,226466.8,,2,1,420,4200,1,600,500,2,,,2,2,,14870,2,5,5,2,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226466.8,500,227566.8,227566.8,4,0,0,0,0,4800,2400,0,0,0,0,1,1,1,8,1,2,0,226466.8,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
5,32.8922253041617,2,120000,2,1,2,,18000,2,,100,1,900,,2,2,,32480.4,3.8,3,4,2,1,1,3,0,0,1,1,0,0,1,1,1,1,60000,0,0,21000,200,0,1,20000,0,0,0,0,1,11000,0,0,1,31000,160000,22200,202200,171200,3,0,11000,0,500,4800,4800,0,0,1,7000,0,0,2,2,1,2,0,120000,2,0,1,1,,,5,,,,5,0,,,,0,,2,1,15000,300,47.8,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,,,900,20000,1,21000
6,5724.91156673329,2,33000,,1,2,,4000,2,,700,2,,,2,2,,45752.4,4.8,1,1,1,1,2,4,0,0,1,1,0,1,0,0,1,1,36000,0,24103.6,0,0,0,0,0,0,0,0,0,1,4019.2,0,0,1,4019.2,69000,24803.6,93803.6,89784.4,2.2,4019.2,0,0,250,4320,19680,1,600,1,19216,1,0,1,4,3,2,0,33000,,0,1,1,,,1,,,,2,0,,,,0,,2,2,9000,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
7,252.360887396215,2,4e+05,2,1,1,3606,18000,2,,2500,1,42000,,2,2,,24379.6,3.2,4,6,2,1,0,2,0,0,1,1,0,1,0,0,1,1,160000,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,86500,646500,646500,5,0,0,0,0,11352,-7032,1,9500,1,4500,1,0,1,6,1,2,0,4e+05,2,0,2,1,1,,1,1,,,2,0,6000,,,0,,2,2,40000,0,0,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,42000,0,1,0
8,346.46710877767,2,114541,2,1,2,,9000,2,,1000,2,,,2,2,,10731.8,1.6,6,5,2,1,0,1,0,0,1,1,0,0,0,0,1,1,65838.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180379.4,1000,181379.4,181379.4,3.6,0,0,0,0,1800,2640,0,0,1,500,1,0,1,6,1,2,0,114541,2,0,1,2,,,3,,,,6,0,,,,0,,2,2,16459.6,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,1,0
9,2387.45062284704,2,240000,2,2,2,,24000,2,,1500,1,180300,,2,2,,33054.2,4.2,5,5,2,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,181800,421800,421800,5,0,0,0,0,7200,7200,0,0,1,5000,1,1,1,8,1,2,0,240000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,3000,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,180300,0,0,0
10,5889.45023902777,2,140207.8,1,2,2,,9015,2,,3000,2,,,2,2,,25559,3,1,1,2,1,2,3,0,0,1,1,0,0,1,0,1,1,0,0,0,601,0,45399,0,0,1,45399,0,0,0,0,0,0,1,45399,94808.8,3601,143808.8,98409.8,2.4,0,0,0,450,5592,5208,1,12000,1,6000,0,1,1,8,1,2,450,140207.8,1,0,,,,,,,,,,0,,,,0,,2,1.8,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,45399,0,601
