h_2008,facine3,p2_69,p2_84,p2_70,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1,459.88779221219,1,6000,1300,14840,,,,,3,1,1,170000,2,1,0,0,0,0,78633.28,6,3,4,3,1,1,1,1,1,0,0,0,0,0,0,1,1,1,150000,1505683.6,,215000,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,245840,2077523.6,2077523.6,5,0,10320,31680,0,0,1,40000,1,2,10,1,2,0,170000,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,37500,0,,,,,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,3,0,0,1
2,4555.21877930772,2,,,100,,,,,4,1,0,150253,1,1,0,0,0,0,18072,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,150253,0,0,1,150253,0,0,0,0,0,0,0,0,1,150253,0,0,100,150353,100,1,1400,5160,1440,0,0,0,0,0,2,6,1,2,1400,150253,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,150253,0
3,1663.8495279204,2,,,336.8,,,,,4,1,0,130000,2,1,0,0,0,0,26927.4808,3,3,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,3000,0,3000,0,0,0,0,0,0,1,1e+05,0,0,1,1000,0,0,1,101000,101000,130000,3336.8,133336.8,32336.8,1,866,6000,10800,0,0,1,2000,0,1,2,1,2,0,130000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,0,0,0
4,4513.23582792185,1,600,800,5000,1843,,,,4,1,1,300506,0,1,1,0,0,0,17083.06,2,3,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,382.2,0,382.2,0,0,0,0,0,0,0,0,1,10000,0,0,0,0,1,10000,10000,300506,7225.2,308331.2,298331.2,3,150,5160,2040,0,0,1,2000,0,2,6,1,2,0,300506,,0,,,,,,,,,,0,,,,0,,2,2,0,0,178,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,0,,1843,0,0
5,138.228577587207,2,,,7483.4,,,,,2,0,0,,0,1,0,0,0,0,18072,2,3,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,,0,16883.6,0,16883.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24367,24367,24367,1,0,6000,6000,0,0,1,1000,0,2,4,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,0,,0,0,0
6,2993.42110534319,2,,,10000,,,,,2,1,0,180304,2,1,0,0,0,0,23876.124,2.6,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,120202,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506,10000,310506,310506,3,0,9600,7200,0,0,1,15000,1,1,2,1,2,0,180304,2,0,1,2,,,1,,,,2,0,,,,0,,2,2,30050.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,,0,0,1
7,3731.09765645418,2,,,500,,,,,1,1,0,168283,1,1,0,0,0,0,26003.6,3,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,162273,0,0,1,162273,0,0,0,0,0,0,0,0,1,162273,0,6010,500,168783,6510,1,640,4128,5472,0,0,1,2200,0,1,8,1,2,640,168283,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,162273,0
8,60.4991149058755,2,,,10000,,,,,2,1,0,240405,2,1,0,0,0,0,95864.1288,6,5,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,961619,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202024,10000,1212024,1212024,5,0,15480,32520,1,10818,1,12318,1,1,10,1,2,0,240405,2,0,8,1,1,1,1,8,8,8,4,4380,53756,,,0,,2,2,240404.75,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
9,180.064366955296,1,,1500,4000,,,,,2,1,0,180304,0,1,0,0,0,0,15562,2,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,180304,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360608,4000,364608,364608,4,0,7200,4800,0,0,1,6000,1,1,2,1,2,0,180304,,0,1,1,,,1,,,,5,0,,,,0,,2,2,45076,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
10,1344.60506035924,2,,,300,,,,,1,0,0,,0,1,0,0,0,0,9036,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,1,0,3612,2388,0,0,0,0,0,2,2,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,0,0,0
