h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1,2391.65312704918,2,1,2,1,2,198147.4,,3000,15025.3,2,2,2,50000,,,,4,1,1,0,71040.9294,6,2,6,1,1,1,1,0,0,0,1,1,0,29553.2,,0,0,0,12020.24,0,0,1,12020.24,0,0,1,10912,0,0,0,0,1,22932.24,10912,186127.16,50000,277700.6,254768.36,3,0,10912,0,629,14400,21600,1,7000,1,16502.53,1,1,1,4,1,2,296,198147.4,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,0,12020.24,0,0
2,125.619213073917,2,,1,1,2,180970.2,,1803.04,31939.6,2,2,2,49013.8,,133618.6,,2,1,1,1,58737.754,5.2,5,6,2,0,0,1,1,0,0,1,1,162273.27,0,,341165.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343243.47,523798,867041.47,867041.47,4.8,0,0,0,0,9117.6,8882.4,0,0,1,18030.36,1,0,1,6,1,2,0,180970.2,,0,2,1,1,,1,4,,,2,0,,,,0,,2,2,40568.3175,0,,,,5482.4,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,133618.6,0,1,0
3,2366.67264451711,2,,2,2,2,480809.68,,,24334.2,2,2,2,5029.8,,,,2,1,1,0,28472.2868,3,4,5,2,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480809.68,5029.8,485839.48,485839.48,4,0,0,0,0,3600,2400,0,0,1,12020.24,1,1,2,9,1,2,0,480809.68,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
4,2661.20798917562,2,1,2,1,2,210354.24,,500,12020.24,2,2,2,6000,,,,4,1,1,0,10961.09,2,4,1,3,2,0,1,0,1,0,1,1,0,0,,0,1200,0,18030.36,0,0,1,18030.36,0,0,1,24040.48,0,0,0,0,1,42070.84,24040.48,192323.88,7200,217554.24,175483.4,2,24040.48,0,0,390,6000,7200,0,0,1,3000,0,1,1,11,1,2,200,210354.24,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,18030.36,0,1200
5,2461.22109402528,2,,2,1,2,120202.42,,360.61,16659.2,2,2,2,4180.8,,,,4,1,1,0,54192.7904,4.6,3,1,3,3,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,23585.16,1,2589.8,0,0,0,0,1,26174.96,26174.96,120202.42,4180.8,124383.22,98208.26,2,0,2589.8,23585.16,352.8,13422.1917480469,6377.80825195313,1,3606.07,1,3606.07,1,1,2,4,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
6,529.173586375361,2,,2,2,2,152379.4,,,9015.18,2,2,2,1800,,,,1,1,1,0,15904.8838,2,4,5,2,0,0,1,1,0,0,1,1,0,0,,9958.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152379.4,11758.2,164137.6,164137.6,2.2,0,0,0,0,4677.6,4497.6,0,0,1,3606.07,1,1,1,9,1,2,0,152379.4,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
7,4898.94067646048,1,,2,1,2,,,500,2868.6,2,2,2,1000,,,,2,0,1,0,24888,3,1,1,2,2,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,12000,0,0,0,0,1,12000,12000,0,1000,1000,-11000,1,0,12000,0,400,4800,1200,1,13000,1,10000,1,1,2,6,,1,0,,,0,,,,,,,,,,0,,,,1,200,1,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
8,13.7465677027837,1,,2,2,2,,,,6000,2,2,2,6000,,,,3,0,1,0,17732.7,2,4,6,1,2,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,1,0,0,0,0,3600,1200,0,0,0,0,1,1,1,2,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,0,0,0,0
9,2481.09235796417,1,,2,2,2,,,,12000,2,2,2,,,,,3,0,0,0,22845.9396,3,2,4,2,0,0,0,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,480.81,0,0,0,0,1,480.81,480.81,0,0,0,-480.81,1,0,0,480.81,80.0499992370606,3245.51989746094,2884.79992675781,0,0,0,0,1,1,1,6,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,0,1,0,0,0,0,0,,0,,2,,,0,0,0,0
10,234.829604798867,2,2,1,2,2,330556.66,,,30050.61,1,2,2,6000,12000,,,3,1,1,0,144475.6696,6,5,6,2,2,1,1,0,1,0,1,1,408688.23,60101.21,,0,68000,0,0,1,42000,0,0,0,0,1,4000,0,0,0,0,1,46000,4000,697244.89,86000,885346.1,839346.1,5,0,4000,0,375,14400,6000,1,9500,1,21035.42,0,0,1,6,1,2,0,330556.66,2,0,3,1,1,1,1,8,8,8,2,841.419982910156,6010.12,,,0,,2,2,102172.0575,165,0,,,,0,1,0,0,0,0,0,0,2,2,2,2,1,1,2,3,12000,42000,1,68000
