h_2011,facine3,p2_69,p2_84,p2_70,p2_71,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1,253.234518683244,2,30051,,12020,35000,150000,,,,1,1,1,4e+05,0,1,1,0,0,0,78320.7,6,4,1,3,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1115050.65,0,,3e+05,189000,0,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515050.65,674000,2219101.65,2219101.65,5,0,4128,7872,0,0,1,5000,1,2,12,3,2,0,4e+05,,0,5,2,1,3,3,1,1,1,4,4305,6000,,,0,,2,2,368441.1,0,3005,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,150000,0,1
2,142.072160559688,2,6000,,150000,17648,5e+05,,,,1,1,1,1800000,2,0.8,1,0,0,0,87023,6,5,6,3,1,1,1,1,0,1,0,1,0,0,0,0,1,1,7e+05,17140000,,0,82423,0,82423,0,0,0,0,0,0,1,30000,0,0,0,0,0,0,1,30000,30000,2500000,600071,20246071,20216071,5,700,12000,16848,0,0,1,15000,1,1,10,1,2,0,1800000,2,0,1,1,,,1,,,,2,0,,,,0,,2,1,175000,0,15000,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,5e+05,0,1
3,6.14664605594233,2,172524.4,,150000,40000,8e+05,,5e+05,,2,1,1,2e+06,0,1,1,0,1,0,3352945,6,5,6,3,2,1,1,1,1,0,1,1,0,0,0,0,1,1,2e+06,2e+07,,1e+06,0,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+06,2355000,26527524.4,26527524.4,5,0,30000,90000,1,20000,1,38000,1,1,11,1,2,0,2e+06,,0,1,0,,,1,,,,2,0,,,,0,,2,2,5e+05,0,24000,,20000,,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1300000,0,1
4,6110.94697622215,2,,,20000,6000,,,,,4,0,0,,0,1,0,0,0,0,22523.6,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,22000,22000,1,0,8400,3600,0,0,1,9000,0,2,4,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,2,0,,2,0,,0,0,0
5,3441.3553670254,2,,,8000,3696.8,,,,,2,1,0,180304,1,1,0,0,0,0,47004.50084,4.6,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,144243,0,0,1,144243,0,0,0,0,0,0,0,0,1,144243,0,36061,3696.8,184000.8,39757.8,1,600,2400,2400,0,0,0,0,0,1,10,1,2,600,180304,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,144243,0
6,75.555715066538,1,,3000,50000,6500,70000,,180000,,2,1,0,3e+05,2,1,1,0,1,0,166469.88,6,4,5,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,257000,0,,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557000,256900,813900,813900,5,0,7200,8400,0,0,1,30000,1,1,10,1,2,0,3e+05,2,0,5,1,2,2,1,1,1,1,2,0,,,,0,,2,2,106250,0,5000,,7000,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,250000,0,1
7,3354.63353591783,2,,,30000,5000,,,10000,,1,1,0,126213,2,1,0,0,1,0,28154.5,3,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,300506,0,,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426719,20000,446719,446719,4,0,2400,2400,0,0,1,3680.8,1,1,2,1,2,0,126213,2,0,1,2,,,9,,,,4,900,15000,,,0,,2,2,75126.5,0,,,200,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,10000,0,1
8,3441.15387634038,2,3000,,36000,0,,,,,1,1,1,150000,0,0,0,0,0,0,7678.5,1,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,153000,153000,2.4,0,3600,2400,0,0,0,0,0,2,4,1,2,0,150000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,1,0,1,0,0,0,1,0,,2,0,,0,0,0
9,395.409359168442,2,22868.8,,11924.8,8831.4,,,,,2,1,1,156666.4,2,1,0,0,0,0,21602.18,3,6,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156666.4,8831.4,188366.6,188366.6,3,0,4800,4800,0,0,0,0,0,2,6,1,2,0,156666.4,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,1,0,0,0,1,0,,2,0,,0,0,0
10,3941.31673744715,2,,,1938.4,,,,,,2,1,0,14940.2,0,0,0,0,0,0,6961.84,1,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940.2,0,14940.2,14940.2,1,0,2400,2400,0,0,0,0,0,2,1,2,2,0,14940.2,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,1,0,0,0,1,0,,2,0,,0,0,0
