year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth_alq,ratio_median_wealth_alq,ratio_mean_income_alq,ratio_median_income_alq
2002,Alquiler,20167.6776305624,17075.2,18834.2835518531,1078,1,1,1,1
2002,Propiedad,29428.073732959,22192.2,164695.853778877,109376.8,8.74447139576341,101.462708719852,1.45917017675666,1.29967438155922
2002,Cesion,21965.5779483203,16585.8,48839.3933334656,3367.6,2.59311129085451,3.1239332096475,1.08914761286314,0.971338549475262
2002,Casero1,42513.4021848446,33339.4,433498.53291759,294494,23.0164599425359,273.185528756957,2.10799691286315,1.95250421664168
2002,Casero2,60792.8725390347,48589,698038.202929129,586800,37.0621054423092,544.341372912802,3.01437149346876,2.84558892428786
2002,Casero3,130306.887158472,97628,1839944.68351102,845979.6,97.6912489633824,784.767717996289,6.4611746352492,5.71753185907047
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2,1,1,1,1
2005,Propiedad,30768.5486502102,22523.574,278830.111180933,201267.192,13.0837406165421,146.568010486455,1.53560682006316,1.46565332257477
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813,2.40001536309711,2.77672589571803,1.02660736826749,1.06431713475103
2005,Casero1,60190.0400158285,35110,777795.186119366,513552.26,36.4970283334188,373.982129332945,3.00398426324698,2.28467685259897
2005,Casero2,65612.16987095,48257.864,1172079.29298443,1010082.1,54.9982976604607,735.568089134868,3.27459369885764,3.14023425909055
2005,Casero3,84227.61154799,39287.584,2040790.19489215,1051024.2,95.7614278087234,765.383192542965,4.20365926911668,2.55652047164164
2005,Casero4+,62314.7669172866,45869.356,1770443.98249095,1385933.9,83.0757831172624,1009.27315758812,3.11002583048965,2.98480933912908
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960,1,1,1,1
2008,Propiedad,33391.0090090751,25951.2,298892.270269322,199690.2,6.1373334877591,208.010625,1.36324292144056,1.25471159889765
2008,Cesion,23736.6698578015,19236.4,64235.5172900253,2713.4,1.31898623879557,2.82645833333333,0.96908862961957,0.930058502151526
2008,Casero1,58228.6511748954,43550,837851.846927072,563035.496,17.2041123488837,586.495308333333,2.3772805582974,2.10559396605908
2008,Casero2,103215.569500027,48076.2,1758454.81536762,788923.4,36.1074028958407,821.795208333333,4.21394557035178,2.32443069187255
2008,Casero3,74151.3946374324,43580,864421.744563328,589474,17.7496879249345,614.035416666667,3.02735277711888,2.10704443262583
2008,Casero4+,37600.9375759497,32400,1607791.33655843,1068382,33.0137397072787,1112.89791666667,1.53512018687457,1.56650389208529
2011,Alquiler,25461.3360809728,17316.2,46844.5583346865,2041,1,1,1,1
2011,Propiedad,33115.9639211078,24960,267719.348522329,174730.2,5.71505758704302,85.6100930916218,1.30063731988736,1.44142479296843
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620,1.31143191279706,3.73346398824106,0.740999695189227,0.829281251082801
2011,Casero1,61209.0099655815,44169.8,678418.094384054,380432.2,14.4823244897949,186.39500244978,2.40399835149746,2.55077903928114
2011,Casero2,109019.799991869,52500,1941433.25961486,987424.2,41.4441576275318,483.794316511514,4.28177844419323,3.0318430140562
2011,Casero3,62688.7280576036,42754.2,1443704.57602503,980314,30.8190455273441,480.310632043116,2.46211462973661,2.46902900174403
2011,Casero4+,169641.467486295,145900,3094163.29465639,1830531.4,66.0517124006117,896.879666829985,6.66270878114161,8.42563610953904
2014,Alquiler,24841.7705556813,15740,56509.2355537718,860,1,1,1,1
2014,Propiedad,31027.5264151053,24012.8,252584.358824577,143954.2,4.46978898846062,167.388604651163,1.24900623913094,1.52559085133418
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6,0.731011599665737,2.16581395348837,0.743313708901059,0.982414231257941
2014,Casero1,48000.6634257487,40785.2,582459.492477853,338784.6,10.3073327177397,393.935581395349,1.93225612957652,2.59118170266836
2014,Casero2,70521.5648064022,47040,1326578.69101907,613642.056,23.4754315470567,713.537274418605,2.83883005232386,2.98856416772554
2014,Casero3,88954.4193328396,60753.8,1742427.97634125,852800,30.8343929848995,991.627906976744,3.58084054972868,3.85983481575604
2014,Casero4+,72377.3660336563,82854.4,1334558.90619126,1221463.3,23.6166512095416,1420.3061627907,2.91353492181352,5.26393900889454
2017,Alquiler,23072.1861017914,17623.4,33372.5140919421,1392,1,1,1,1
2017,Propiedad,34371.2849012177,26862.4,260997.057248346,147578.4,7.82071906627388,106.018965517241,1.48972814060948,1.5242461727022
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000,1.37162896893207,2.1551724137931,0.844800150799647,0.846533586027668
2017,Casero1,64809.8165595983,44420.2,648140.165077469,336288.6,19.4213766242431,241.586637931035,2.80900198505968,2.52052384897352
2017,Casero2,71374.8299138528,62810.6,1066831.2655631,658292.6,31.9673628011349,472.911350574713,3.09354430477271,3.56404553037439
2017,Casero3,111796.670193749,65600,1911186.74133479,1289508.2,57.2682877912472,926.370833333333,4.84551700911725,3.72232372867892
2017,Casero4+,84336.4239366185,65620,1657388.08615438,1574185,49.663267250056,1130.88002873563,3.65532869596914,3.72345858347424
2020,Alquiler,24783.6295571593,20780.2,33425.9034249314,1080,1,1,1,1
2020,Propiedad,36621.938097928,30000,284984.3012081,153959.4,8.52585186958744,142.555,1.47766645775049,1.44368196648733
2020,Cesion,27739.0855410462,16666.2,78468.1953607846,10000,2.34752653842282,9.25925925925926,1.11925032921714,0.802023079662371
2020,Casero1,65617.6857155949,49012.6,638311.268325027,369041.4,19.0963056468634,341.705,2.64762211540721,2.3586202250219
2020,Casero2,82152.155150017,70600,1083310.86425599,617834.5,32.4093219107425,572.068981481482,3.31477497920741,3.39746489446685
2020,Casero3,80245.1895178496,49960,1367888.36261443,1142000,40.9230034929785,1057.40740740741,3.23783041272374,2.40421170152357
