year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet
2002,Alquiler,20167.6776305624,17075.2,18834.2835518531,1078
2002,Propiedad,29428.073732959,22192.2,164695.853778877,109376.8
2002,Cesion,21965.5779483203,16585.8,48839.3933334656,3367.6
2002,Casero,42513.4021848446,33339.4,433498.53291759,294494
2002,Casero_Multi,86698.6385980959,54819.4,1123482.82020005,626664.4
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2
2005,Propiedad,30768.5486502102,22523.574,278830.111180933,201267.192
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813
2005,Casero,60190.0400158285,35110,777795.186119366,513552.26
2005,Casero_Multi,72350.5647518512,46143.666,1519616.6694364,1011516.38
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960
2008,Propiedad,33391.0090090751,25951.2,298892.270269322,199690.2
2008,Cesion,23736.6698578015,19236.4,64235.5172900253,2713.4
2008,Casero,58228.6511748954,43550,837851.846927072,563035.496
2008,Casero_Multi,88360.5936087728,44303.2,1436080.84175294,810194.1
2011,Alquiler,25461.3360809728,17316.2,46844.5583346865,2041
2011,Propiedad,33115.9639211078,24960,267719.348522329,174730.2
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620
2011,Casero,61209.0099655815,44169.8,678418.094384054,380432.2
2011,Casero_Multi,99931.5919348502,52500,1860820.6720703,980314
2014,Alquiler,24841.7705556813,15740,56509.2355537718,860
2014,Propiedad,31027.5264151053,24012.8,252584.358824577,143954.2
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6
2014,Casero,48000.6634257487,40785.2,582459.492477853,338784.6
2014,Casero_Multi,77133.0837434972,59137,1471648.24299436,868500
2017,Alquiler,23072.1861017914,17623.4,33372.5140919421,1392
2017,Propiedad,34371.2849012177,26862.4,260997.057248346,147578.4
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000
2017,Casero,64809.8165595983,44420.2,648140.165077469,336288.6
2017,Casero_Multi,83641.9906852528,64247.6,1355747.51591201,895910.9
2020,Alquiler,24783.6295571593,20780.2,33425.9034249314,1080
2020,Propiedad,36621.938097928,30000,284984.3012081,153959.4
2020,Cesion,27739.0855410462,16666.2,78468.1953607846,10000
2020,Casero,65617.6857155949,49012.6,638311.268325027,369041.4
2020,Casero_Multi,84386.9313267989,68359.2,1325752.15874595,802919.6
2022,Alquiler,26763.1306204885,21335.2,33362.5142772346,2217.8
2022,Propiedad,40718.113232466,32120.4,324221.382771558,193919.4
2022,Cesion,23946.8086276209,18392.2,112620.475150221,14054.4
2022,Casero,63288.029467554,50959.6,771818.501033753,407975.2
2022,Casero_Multi,96443.5170211054,80375.8,1936066.74614125,996826
