year,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth,ratio_median_wealth,ratio_mean_renthog,ratio_median_renthog
2002,Menor de 35 anos,26940.6192306555,23017.8,80423.5666492267,48343.4,1,1,1,1
2002,Entre 35 y 44 anos,29877.571460931,23869.4,122934.628469556,87319.8,1.52858961112412,1.806240355457,1.10901576556687,1.03699745414418
2002,Entre 45 y 54 anos,37072.7909680396,27717.8,191473.427289137,120983.4,2.38081243181196,2.50258359982955,1.37609275609578,1.20418980093667
2002,Entre 55 y 64 anos,34183.8975074916,25034,214159.590461351,121819.4,2.66289595679614,2.51987654984962,1.26886086822363,1.08759308013798
2002,Mayor de 64 años,18104.9938130596,12457,134682.504295255,86692.6,1.67466465249773,1.79326650587257,0.672033321062572,0.54118986175916
2005,Menor de 35 anos,27111.2094435311,21904.4,126365.849593331,71136.332,1,1,1,1
2005,Entre 35 y 44 anos,34012.066204495,25315.272,197908.061118748,157567.966,1.56615147016107,2.21501392565476,1.2545388753437,1.15571629444313
2005,Entre 45 y 54 anos,37365.5323261789,28880.75,318739.98906614,218426.546,2.52235861264657,3.07053428056988,1.3782318492285,1.31849080550026
2005,Entre 55 y 64 anos,36402.9458430584,25645.266,387828.532553479,230018.494,3.06909290604687,3.23348825463759,1.34272673887459,1.17078148682456
2005,Mayor de 64 años,17392.7868298289,11775.846,220528.347179695,159396.946,1.74515779294324,2.2407248380476,0.641534892276041,0.537601851682767
2008,Menor de 35 anos,31166.4438340257,26463,136714.032028131,74571,1,1,1,1
2008,Entre 35 y 44 anos,34967.5076107955,29468.6,200570.735993597,149828.8,1.46708229592941,2.00921001461694,1.12196013754447,1.11357744775725
2008,Entre 45 y 54 anos,41423.6457983004,31280,316883.524490433,197435.2,2.31785662224657,2.64761368360355,1.32911043745955,1.18202773684012
2008,Entre 55 y 64 anos,41669.8804454066,31045,425809.067169554,270516.4,3.11459665736387,3.62763540786633,1.33701107085929,1.17314741336961
2008,Mayor de 64 años,20511.7104151208,13749.2,291877.553038537,180428.4,2.13494949061614,2.41955183650481,0.658134451410441,0.519563163662472
2011,Menor de 35 anos,33200.59166568,25776,101752.302181286,68326.8,1,1,1,1
2011,Entre 35 y 44 anos,32300.7710857465,27115.4,169502.91275399,115462.6,1.66583860139102,1.68985815229163,0.972897453485333,1.05196306641837
2011,Entre 45 y 54 anos,38866.0859482216,29380.4,254906.634654572,161753.84,2.50516822902365,2.36735570815551,1.17064437705181,1.13983550589696
2011,Entre 55 y 64 anos,43805.2929350776,28538.2,409105.308540734,232007.6,4.02060002349485,3.39555781918661,1.31941302059264,1.10716170080695
2011,Mayor de 64 años,23067.2284082984,14747.8,302781.695301638,169642.8,2.97567414997834,2.48281494230668,0.694783654477559,0.572152389819988
2014,Menor de 35 anos,25726.1361906402,20919.8,81336.5196110697,4760,1,1,1,1
2014,Entre 35 y 44 anos,33024.3636789192,28072,121164.264917989,69090.3,1.48966621017675,14.514768907563,1.2836892191737,1.34188663371543
2014,Entre 45 y 54 anos,33649.8538970872,24970,212226.03394934,124279,2.60923426480688,26.1090336134454,1.30800263388677,1.19360605741929
2014,Entre 55 y 64 anos,37312.0700068702,27075.6,361464.36909943,186905.8,4.44405994782983,39.2659243697479,1.45035654520266,1.29425711526879
2014,Mayor de 64 años,24585.8703895376,16946.4,334168.623962131,159953.6,4.10846967094288,33.6036974789916,0.955676756406292,0.81006510578495
2017,Menor de 35 anos,26647.1269045825,22000,46893.4422720144,5297.2,1,1,1,1
2017,Entre 35 y 44 anos,35907.564536926,29613.4,134921.447874002,64858.4,2.87719223279375,12.2439024390244,1.34752105416479,1.34606363636364
2017,Entre 45 y 54 anos,38032.2055924948,27795.2,239618.608386871,114380.92,5.10985324977675,21.5927131314657,1.4272535169994,1.26341818181818
2017,Entre 55 y 64 anos,40366.006983932,28303,313482.33262554,174464.672,6.68499298488529,32.9352624027788,1.5148352439073,1.2865
2017,Mayor de 64 años,28474.4671286875,19744.4,351827.697602511,153869.8,7.50270572080563,29.0473835233708,1.0685755064945,0.897472727272727
2020,Menor de 35 anos,31612.703799125,28255.8,68168.4549288547,23968.6,1,1,1,1
2020,Entre 35 y 44 anos,39740.6573906855,33299.2,139997.157449773,70000,2.05369415510273,2.92048763799304,1.25711035801327,1.17849078773208
2020,Entre 45 y 54 anos,37388.6777300531,30583.8,268697.045625521,116480.84,3.94166254620193,4.85972647547208,1.18271053205794,1.08239016414329
2020,Entre 55 y 64 anos,43837.1522893608,32011,330425.759506107,160650.2,4.84719449562063,6.70252747344442,1.38669417737606,1.13290014793423
2020,Mayor de 64 años,31280.1189203492,21726.2,371837.449029237,185795.4,5.45468500668399,7.75161669851389,0.989479391548121,0.76891116160222
2022,Menor de 35 anos,31373.3036025503,26900,76839.4985364313,20069.4,1,1,1,1
2022,Entre 35 y 44 anos,40389.5871897141,32326.6,185342.906332369,76932.8,2.41207855156022,3.83333831604333,1.28738712701046,1.20173234200743
2022,Entre 45 y 54 anos,43141.9217216373,34200,257792.071684505,128172.6,3.35494214036653,6.38646895273401,1.37511568013928,1.27137546468402
2022,Entre 55 y 64 anos,44961.1294141034,32822.2,388459.110157747,189872.6,5.05546128692615,9.46080102045901,1.43310153064176,1.220156133829
2022,Mayor de 64 años,33778.6336723788,23628.4,448014.441696699,221840.4,5.83052271592176,11.0536637866603,1.0766680519304,0.878379182156134
