year,riquezainmo,share_riquezainmo,median_riquezainmo
2002,riquezainmo.0.1,0,0
2002,riquezainmo.0.2,0.334862809081788,20902.2
2002,riquezainmo.0.3,3.53996403459452,48464.4
2002,riquezainmo.0.4,8.5698671279496,69295.8
2002,riquezainmo.0.5,16.1031032889129,90000
2002,riquezainmo.0.6,24.1039479515927,110400
2002,riquezainmo.0.7,34.1178667619379,132177.6
2002,riquezainmo.0.8,50.1039694699311,180000
2002,riquezainmo.0.9,65.4264951723306,244381.6
2002,riquezainmo.0.95,77.8750781752224,343830.4
2002,riquezainmo.0.99,92.4835269386227,598000
2005,riquezainmo.0.1,0,0
2005,riquezainmo.0.2,0.449268848493321,36060.73
2005,riquezainmo.0.3,4.11014642357882,90151.82
2005,riquezainmo.0.4,8.98601972797177,120202.42
2005,riquezainmo.0.5,16.0665273412117,170398.568
2005,riquezainmo.0.6,28.6000440243981,210354.24
2005,riquezainmo.0.7,38.4984307406252,240404.84
2005,riquezainmo.0.8,52.3973469584851,300506.05
2005,riquezainmo.0.9,65.0071995208105,420708.47
2005,riquezainmo.0.95,78.138304942935,579375.668
2005,riquezainmo.0.99,92.4325036490256,1030748.162
2008,riquezainmo.0.1,0,0
2008,riquezainmo.0.2,1.00462812957742,60101
2008,riquezainmo.0.3,5.44806227462591,120000
2008,riquezainmo.0.4,10.0628271367058,150151.8
2008,riquezainmo.0.5,20.6078286217258,180304
2008,riquezainmo.0.6,27.3675356075007,210354
2008,riquezainmo.0.7,35.5287871255778,248053.2
2008,riquezainmo.0.8,48.0172363457994,335206.4
2008,riquezainmo.0.9,66.3803365343208,480810
2008,riquezainmo.0.95,77.6458179879435,680345.6
2008,riquezainmo.0.99,91.7376020199307,1179907.2
