regten,bage,n_actual,cv_est_rent,n_min_rent_strict,n_min_rent_relaxed,cv_est_riq,n_min_riq_strict,n_min_riq_relaxed,status_wealth_strict,status_wealth_relaxed
Casero,Menor de 35 anos,15,0.220701171385546,281,71,0.417325272207377,1004,251,FAIL,FAIL
Cesion,Entre 65 y 74 anos,38,0.351783628279297,1807,452,0.467826104642883,3195,799,FAIL,FAIL
Cesion,Menor de 35 anos,40,0.158912239733043,389,98,0.368792929257852,2090,523,FAIL,FAIL
Cesion,Mayores de 74 anos,51,0.179637471259379,633,159,0.701783759265678,9650,2413,FAIL,FAIL
Alquiler,Mayores de 74 anos,63,0.15321768831956,569,143,0.263899401814908,1686,422,FAIL,FAIL
Cesion,Entre 55 y 64 anos,63,0.126598483565697,388,97,0.25266551733211,1546,387,FAIL,FAIL
Cesion,Entre 35 y 44 anos,68,0.0933881912907793,228,57,0.270585288201595,1913,479,FAIL,FAIL
Alquiler,Entre 65 y 74 anos,78,0.0777353561431287,182,46,0.247526111712019,1836,459,FAIL,FAIL
Cesion,Entre 45 y 54 anos,81,0.119995843496027,449,113,0.263181826527206,2156,539,FAIL,FAIL
Casero,Entre 35 y 44 anos,90,0.123819361931749,531,133,0.49027315763315,8311,2078,FAIL,FAIL
Propiedad,Menor de 35 anos,90,0.0822636391320101,234,59,0.111455954989829,430,108,FAIL,FAIL
Alquiler,Menor de 35 anos,166,0.0647253237321938,268,67,0.180939465090888,2088,522,FAIL,FAIL
Alquiler,Entre 55 y 64 anos,178,0.112683284389032,869,218,0.262220812217869,4702,1176,FAIL,FAIL
Alquiler,Entre 45 y 54 anos,237,0.0622675905699917,354,89,0.250803477955723,5728,1432,FAIL,FAIL
Casero,Entre 45 y 54 anos,242,0.062930360451504,369,93,0.125061316537583,1455,364,FAIL,FAIL
Alquiler,Entre 35 y 44 anos,251,0.0563090540752673,306,77,0.170537904320144,2805,702,FAIL,FAIL
Casero,Mayores de 74 anos,259,0.0844668777137954,710,178,0.147657950186264,2170,543,FAIL,FAIL
Casero,Entre 65 y 74 anos,272,0.0767817746233217,617,155,0.100022276136311,1046,262,FAIL,PASS
Casero,Entre 55 y 64 anos,278,0.0914980922221022,895,224,0.365776609315773,14289,3573,FAIL,FAIL
Propiedad,Entre 35 y 44 anos,481,0.0334078658123999,207,52,0.0697121761598277,898,225,FAIL,PASS
Propiedad,Mayores de 74 anos,662,0.0450781771964891,517,130,0.0807191937921465,1658,415,FAIL,PASS
Propiedad,Entre 65 y 74 anos,776,0.0549847603842087,902,226,0.0579844108601317,1003,251,FAIL,PASS
Propiedad,Entre 45 y 54 anos,927,0.0353781190625371,446,112,0.089478639482637,2852,713,FAIL,PASS
Propiedad,Entre 55 y 64 anos,979,0.0414181146883721,646,162,0.047466733488714,848,212,PASS,PASS
