regten,bage,n_households,weighted_population,pct_sample,pct_population
Casero,Menor de 35 anos,15,33800.656359,0.234925606891151,0.176816150967889
Cesion,Entre 65 y 74 anos,38,181518.559498,0.595144870790916,0.949549993313255
Cesion,Menor de 35 anos,40,147136.393588,0.62646828504307,0.769691881282042
Cesion,Mayores de 74 anos,51,204615.451746,0.798747063429914,1.07037319695865
Cesion,Entre 55 y 64 anos,63,208924.84452,0.986687548942835,1.0929162575198
Alquiler,Mayores de 74 anos,63,188595.494027,0.986687548942835,0.986570467435982
Cesion,Entre 35 y 44 anos,68,274781.685182,1.06499608457322,1.43742297233274
Alquiler,Entre 65 y 74 anos,78,306688.791553,1.22161315583399,1.60433368782662
Cesion,Entre 45 y 54 anos,81,357550.368801,1.26859827721222,1.87039799810599
Casero,Entre 35 y 44 anos,90,309586.385277,1.40955364134691,1.6194914221589
Propiedad,Menor de 35 anos,90,391702.88621,1.40955364134691,2.04905478541761
Alquiler,Menor de 35 anos,166,724750.038351001,2.59984338292874,3.7912728922772
Alquiler,Entre 55 y 64 anos,178,610639.493528,2.78778386844166,3.19434403071445
Alquiler,Entre 45 y 54 anos,237,859007.326636,3.71182458888019,4.49359229997767
Casero,Entre 45 y 54 anos,242,485574.815155,3.79013312451057,2.54011250286831
Alquiler,Entre 35 y 44 anos,251,995532.376963,3.93108848864526,5.20777470084959
Casero,Mayores de 74 anos,259,228313.700121,4.05638214565388,1.19434218199384
Casero,Entre 65 y 74 anos,272,350295.027552,4.25998433829287,1.83244425247509
Casero,Entre 55 y 64 anos,278,344754.187914,4.35395458104933,1.80345931420893
Propiedad,Entre 35 y 44 anos,481,1899697.767419,7.53328112764291,9.93759540257806
Propiedad,Mayores de 74 anos,662,1941947.252521,10.3680501174628,10.1586086058948
Propiedad,Entre 65 y 74 anos,776,2158150.908772,12.1534847298356,11.2896013865515
Propiedad,Entre 45 y 54 anos,927,2986473.304184,14.5184025058731,15.6226763470397
Propiedad,Entre 55 y 64 anos,979,2926234.28415,15.3328112764291,15.3075572692514
