year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2002,Alquiler,20130.1431016727,17075.2,17568.8276228027,1055.2,29984.2007557348,25433.809494468,26169.0764851663,1571.73888320855
2002,Propiedad,29378.1233732746,22178.4,163211.806874074,109210,43759.2293607597,33035.1152836927,243106.845207266,162670.207956033
2002,Cesion,21965.2138345646,16585.8,48529.4818572639,3367.6,32717.5707560421,24704.8396219867,72285.5132837619,5016.09918791994
2002,Casero,50270.1935238677,38408.2,575809.697044302,344916.2,74878.3338020106,57209.6866698736,857678.629807681,513758.721558508
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2,27288.0758317153,20929.1688760665,29023.7604333149,1870.16415709769
2005,Propiedad,30733.3524833071,22526.974,277741.327894707,201201.382,41855.821615009,30679.5363695541,378256.536828866,274016.613002418
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813,28014.1397146811,22275.2730508956,69657.4709348057,5192.93324425685
2005,Casero,61893.0425392084,36265.4,910987.166498267,565571.738,84292.2733254809,49389.9295243305,1240675.46341469,770253.417328173
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960,29985.5597555346,25320.3322977046,59619.8433164936,1175.24145461473
2008,Propiedad,33371.5049448772,25951.2,296947.570287974,199538.4,40853.7250146875,31769.7146218726,363526.140051612,244276.874445307
2008,Cesion,23718.3217950554,19236.4,63761.4125767491,2713.4,29036.2031327511,23549.390330782,78057.3492343628,3321.77100307458
2008,Casero,64483.0874149217,43566,995232.247388035,631225.6,78940.8306787095,53333.9262622345,1218373.11885396,772752.596181306
2011,Alquiler,25459.3764949667,17316.2,46651.1356801351,2041,29634.5000948069,20155.9111490082,54301.5295370305,2375.70683262642
2011,Propiedad,32856.5191909454,24927.2,264167.675110702,174333.66,38244.711973665,29015.0511309385,307488.951846905,202922.91387495
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620,21960.8457143885,16714.9192143633,71508.0176020469,8869.61590622898
2011,Casero,71130.1315872535,45220,928847.815642507,439549.4,82794.8748738142,52635.6996430019,1081171.04463108,511631.804437455
2014,Alquiler,24840.8121959355,15740,56476.6606288031,860,27552.5977093255,17458.2813365395,62642.0222494224,953.883224232781
2014,Propiedad,30880.3427430527,24000,245187.349547109,143306.6,34251.4429083215,26619.9969553334,271953.604101263,158950.885653299
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6,20481.0137212025,17151.2640383213,45818.4570832442,2065.93359704183
2014,Casero,53261.2886582873,44280,780432.322114448,392200,59075.6392466976,49113.8943825902,865629.4182721,435015.11691174
2017,Alquiler,23079.1196699765,17693.8,32146.7435720045,1378.8,25264.0908973633,19368.9264543868,35190.1746371151,1509.33523580625
2017,Propiedad,34277.1037385959,26876.2,256499.505442255,147287.8,37522.2225515295,29420.6524982418,280783.102357754,161231.988935584
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000,21336.6957748691,16331.2086712694,50108.3393723471,3284.01922499183
2017,Casero,67005.1022336946,46437,785905.696333761,400987.6,73348.6813026654,50833.3335836486,860309.805263555,438950.329127778
2020,Alquiler,24747.4638346475,20773.4,33064.727346336,1080,26384.9861876376,22147.9613318153,35252.5972018864,1151.46284375021
2020,Propiedad,36638.9226639694,30000,282674.965212681,153527.2,39063.2945209242,31985.0789930613,301379.369722948,163685.987319451
2020,Cesion,27737.6767696838,16666.2,78280.0812871951,10000,29573.0594187446,17768.9907838053,83459.8194518065,10661.6929976871
2020,Casero,67677.7650410064,50232,774763.365863161,437960,72155.955363681,53555.8162659818,826028.915268775,466939.506526704
2022,Alquiler,26757.2813422445,21335.2,33182.2298192945,2217.8,26757.2813422445,21335.2,33182.2298192945,2217.8
2022,Propiedad,40496.1991778745,32002,317431.602225519,192694.35,40496.1991778745,32002,317431.602225519,192694.35
2022,Cesion,23831.901075947,18378.2,111780.680999659,13654.4,23831.901075947,18378.2,111780.680999659,13654.4
2022,Casero,69811.0423128674,56141,1012682.09934986,535890.6,69811.0423128674,56141,1012682.09934986,535890.6
