year,riquezainmo,share_riquezainmo,median_riquezainmo,median_riquezainmo_IPC
2002,riquezainmo.0.1,0,0,0
2002,riquezainmo.0.2,0.334862809081788,20902.2,31134.19302938
2002,riquezainmo.0.3,3.53996403459452,48464.4,72188.5727173735
2002,riquezainmo.0.4,8.5698671279496,69295.8,103217.307906599
2002,riquezainmo.0.5,16.1031032889129,90000,134056.57646775
2002,riquezainmo.0.6,24.1039479515927,110400,164442.73380044
2002,riquezainmo.0.7,34.1178667619379,132177.6,196880.850463596
2002,riquezainmo.0.8,50.1039694699311,180000,268113.1529355
2002,riquezainmo.0.9,65.4264951723306,244381.6,364010.673863456
2002,riquezainmo.0.95,77.8750781752224,343830.4,512141.4034393
2002,riquezainmo.0.99,92.4835269386227,598000,890731.474752382
2005,riquezainmo.0.1,0,0,0
2005,riquezainmo.0.2,0.449268848493321,36060.73,49111.1889927013
2005,riquezainmo.0.3,4.11014642357882,90151.82,122777.965672242
2005,riquezainmo.0.4,8.98601972797177,120202.42,163703.945150308
2005,riquezainmo.0.5,16.0665273412117,170398.568,232066.191592174
2005,riquezainmo.0.6,28.6000440243981,210354.24,286481.91082255
2005,riquezainmo.0.7,38.4984307406252,240404.84,327407.890300616
2005,riquezainmo.0.8,52.3973469584851,300506.05,409259.86287577
2005,riquezainmo.0.9,65.0071995208105,420708.47,572963.808026078
2005,riquezainmo.0.95,78.138304942935,579375.668,789053.020527332
2005,riquezainmo.0.99,92.4325036490256,1030748.162,1403778.23155165
2008,riquezainmo.0.1,0,0,0
2008,riquezainmo.0.2,1.17715022583298,60101,73576.2361081247
2008,riquezainmo.0.3,4.73267293198358,108182,132437.469836594
2008,riquezainmo.0.4,9.77714413863342,138226.8,169218.60989452
2008,riquezainmo.0.5,16.6140237430247,180283.6,220704.958653312
2008,riquezainmo.0.6,24.8842861757112,210182.4,257307.364073348
2008,riquezainmo.0.7,34.9105795296036,241755.4,295959.341621839
2008,riquezainmo.0.8,47.1771179956348,330334,404398.13611323
2008,riquezainmo.0.9,66.3488259486747,480810,588612.337284694
2008,riquezainmo.0.95,76.739573200293,657607.4,805049.455563967
2008,riquezainmo.0.99,91.3813035820967,1204548.6,1474620.25918555
2011,riquezainmo.0.1,0,0,0
2011,riquezainmo.0.2,1.11997502201646,60040.4,69886.5205848229
2011,riquezainmo.0.3,5.67134288000299,1e+05,116399.158874396
2011,riquezainmo.0.4,10.3400629343698,120748.8,140550.587550927
2011,riquezainmo.0.5,17.0557988643309,155634,181156.666922578
2011,riquezainmo.0.6,25.4523849786602,181885.6,211713.308513649
2011,riquezainmo.0.7,35.6726535343687,240000,279357.981298551
2011,riquezainmo.0.8,48.0528326473423,300101.2,349315.272571969
2011,riquezainmo.0.9,64.4113406615445,420708,489700.573317294
2011,riquezainmo.0.95,76.1394615293978,618632,720082.444527854
2011,riquezainmo.0.99,90.9447647223074,1123550.2,1307802.98233159
2014,riquezainmo.0.1,0,0,0
2014,riquezainmo.0.2,0.653151836658455,41600,46141.3280559113
2014,riquezainmo.0.3,3.93830426216818,72121,79994.2000173167
2014,riquezainmo.0.4,8.78145011631316,1e+05,110916.653980556
2014,riquezainmo.0.5,14.6699497725436,124600,138202.150859773
2014,riquezainmo.0.6,22.2889460657637,158739.8,176068.874695426
2014,riquezainmo.0.7,33.6281202694707,2e+05,221833.307961112
2014,riquezainmo.0.8,43.6871044193698,250234.2,277551.401755012
2014,riquezainmo.0.9,60.4429114521009,395320.2,438475.938349242
2014,riquezainmo.0.95,72.9886104240185,561121.4,622377.081648851
2014,riquezainmo.0.99,88.5006577244426,1160794,1287513.86440705
2017,riquezainmo.0.1,0,0,0
2017,riquezainmo.0.2,0,0,0
2017,riquezainmo.0.3,2.29333938158238,60101,65790.9464804114
2017,riquezainmo.0.4,6.21227171377879,90564.2,99138.1912986684
2017,riquezainmo.0.5,12.3086084302322,120202,131581.892960823
2017,riquezainmo.0.6,19.0730246206167,150402.4,164641.457694971
2017,riquezainmo.0.7,28.3376846599015,2e+05,218934.614999456
2017,riquezainmo.0.8,40.0400075451236,271039.6,296699.752378032
2017,riquezainmo.0.9,57.1580252263626,416991.8,456469.69595465
2017,riquezainmo.0.95,70.051145992263,625723.4,684962.558375752
2017,riquezainmo.0.99,87.6611556361613,1264579.8,1384301.45824544
2020,riquezainmo.0.1,0,0,0
2020,riquezainmo.0.2,0,0,0
2020,riquezainmo.0.3,1.93382239932754,62951.8,67117.2765251798
2020,riquezainmo.0.4,5.98202754188458,98462.8,104978.014529267
2020,riquezainmo.0.5,11.5720883106852,125863.2,134191.479810649
2020,riquezainmo.0.6,18.767662618273,167087.2,178143.243024314
2020,riquezainmo.0.7,28.1455715370232,210354.6,224273.616585127
2020,riquezainmo.0.8,40.5426620589605,296971.20625,316621.583019032
2020,riquezainmo.0.9,58.825675154391,450000,479776.184895919
2020,riquezainmo.0.95,71.8107217250325,651455.6,694561.960882405
2020,riquezainmo.0.99,89.397939059107,1392000,1484107.66527804
2022,riquezainmo.0.1,0,0,0
2022,riquezainmo.0.2,0,0,0
2022,riquezainmo.0.3,1.55808129839897,69628.2,69628.2
2022,riquezainmo.0.4,5.46041708927073,109636.4,109636.4
2022,riquezainmo.0.5,11.0051593740797,144899.8,144899.8
2022,riquezainmo.0.6,18.3479926227125,180000,180000
2022,riquezainmo.0.7,27.8175202165617,240000,240000
2022,riquezainmo.0.8,39.9707314229347,330000,330000
2022,riquezainmo.0.9,58.0606254506991,509435.4,509435.4
2022,riquezainmo.0.95,72.2543384500858,750000,750000
2022,riquezainmo.0.99,89.3355067514416,1460370,1460370
