year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet
2002,Alquiler,20175.9335475986,17004.2,19678.6491653935,1108.4
2002,Cesion,22018.0746558719,16585.8,49381.0500910302,3419
2002,Propiedad,30040.4500381347,22508,176073.498667696,112619.2
2005,Alquiler,20501.1177296375,15640.0692,26512.9283278873,1487.898
2005,Cesion,20594.5867483864,16574.066,52477.2382594117,4104.988
2005,Propiedad,31815.6572995971,22854.862,300413.225191703,207708.484
2008,Alquiler,25098.8866090546,20938.4,59770.9112138485,1000
2008,Cesion,24201.6272242062,20520,68047.4113234638,3038.4
2008,Propiedad,34653.4115629604,26489.2,326766.283851812,205044.2
2011,Alquiler,25985.676031045,17973.2,55281.7606460971,2320
2011,Cesion,20848.0305538436,14860,70139.7639900928,8614.4
2011,Propiedad,34957.9385043033,25861.6,302911.564419597,180685.5
2014,Alquiler,26005.195361161,16380.2,63505.8012066803,963.4
2014,Cesion,19092.3229755691,15238.4,45547.1826670998,1682
2014,Propiedad,32631.9688370354,25180,290510.293651069,151544.4
2017,Alquiler,27332.2008651549,18165.8,57199.9771741697,2053
2017,Cesion,20322.3411550166,15500,53865.9472276407,3783.8
2017,Propiedad,37187.4881186002,28172.6,314109.845266564,159816
2020,Alquiler,29776.8265205918,21738.4,59745.6879648931,1817.2
2020,Cesion,28210.7268084287,17340.8,91869.1279937583,10100
2020,Propiedad,39667.5997738035,31833.8,345059.830849436,170363.2
2022,Alquiler,28225.3415312701,21858.6,46114.7248692288,2897.4
2022,Cesion,24860.4399525297,18728.2,126352.341133301,17000
2022,Propiedad,44220.3240029765,34387.8,411152.94427749,208275.5
