year,riquezainmo,median_riquezainmo
2002,riquezainmo.0.1,0
2002,riquezainmo.0.2,25274.6
2002,riquezainmo.0.3,53010
2002,riquezainmo.0.4,72121
2002,riquezainmo.0.5,94033
2002,riquezainmo.0.6,120000
2002,riquezainmo.0.7,145819.6
2002,riquezainmo.0.8,180302.4
2002,riquezainmo.0.9,270363.4
2002,riquezainmo.0.95,383200
2002,riquezainmo.0.99,720000
2005,riquezainmo.0.1,0
2005,riquezainmo.0.2,42846.31
2005,riquezainmo.0.3,94582.716
2005,riquezainmo.0.4,135277.7823
2005,riquezainmo.0.5,180303.63
2005,riquezainmo.0.6,210354.24
2005,riquezainmo.0.7,249753.126
2005,riquezainmo.0.8,303476.786
2005,riquezainmo.0.9,448015.372
2005,riquezainmo.0.95,616648.588
2005,riquezainmo.0.99,1194979.242
2008,riquezainmo.0.1,0
2008,riquezainmo.0.2,60101
2008,riquezainmo.0.3,120000
2008,riquezainmo.0.4,150253
2008,riquezainmo.0.5,180304
2008,riquezainmo.0.6,213078.4
2008,riquezainmo.0.7,270455.2
2008,riquezainmo.0.8,360607
2008,riquezainmo.0.9,520264.2
2008,riquezainmo.0.95,703397.4
2008,riquezainmo.0.99,1372146.58
2011,riquezainmo.0.1,0
2011,riquezainmo.0.2,60101
2011,riquezainmo.0.3,101290.2
2011,riquezainmo.0.4,131568.2
2011,riquezainmo.0.5,167105.264
2011,riquezainmo.0.6,2e+05
2011,riquezainmo.0.7,240405
2011,riquezainmo.0.8,306364.4
2011,riquezainmo.0.9,451105.56
2011,riquezainmo.0.95,665222.8
2011,riquezainmo.0.99,1277698
2014,riquezainmo.0.1,0
2014,riquezainmo.0.2,43271.2
2014,riquezainmo.0.3,75005.1
2014,riquezainmo.0.4,108182
2014,riquezainmo.0.5,132133.25
2014,riquezainmo.0.6,169146.8
2014,riquezainmo.0.7,206160.31
2014,riquezainmo.0.8,270197.6
2014,riquezainmo.0.9,420709.4
2014,riquezainmo.0.95,601012
2014,riquezainmo.0.99,1334951.2
2017,riquezainmo.0.1,0
2017,riquezainmo.0.2,19058.794
2017,riquezainmo.0.3,66033.8
2017,riquezainmo.0.4,98767.562
2017,riquezainmo.0.5,129638.4
2017,riquezainmo.0.6,161736.54
2017,riquezainmo.0.7,210212.4
2017,riquezainmo.0.8,290400
2017,riquezainmo.0.9,443873.85
2017,riquezainmo.0.95,640000
2017,riquezainmo.0.99,1381283.4
2020,riquezainmo.0.1,0
2020,riquezainmo.0.2,7900
2020,riquezainmo.0.3,69459.4
2020,riquezainmo.0.4,1e+05
2020,riquezainmo.0.5,130000
2020,riquezainmo.0.6,175352
2020,riquezainmo.0.7,220239.4
2020,riquezainmo.0.8,300397.7
2020,riquezainmo.0.9,475594.6
2020,riquezainmo.0.95,661107.256
2020,riquezainmo.0.99,1431396.8
2022,riquezainmo.0.1,0
2022,riquezainmo.0.2,0
2022,riquezainmo.0.3,70000
2022,riquezainmo.0.4,111318.399875
2022,riquezainmo.0.5,150000
2022,riquezainmo.0.6,190000
2022,riquezainmo.0.7,250000
2022,riquezainmo.0.8,341590.8
2022,riquezainmo.0.9,550493.8
2022,riquezainmo.0.95,8e+05
2022,riquezainmo.0.99,1722540
