bage,otherpropsNo assets,otherpropsOther than main,se.otherpropsNo assets,se.otherpropsOther than main
1,0.843054588403265,0.156945411596735,0.0208939290976471,0.0208939290976471
2,0.738369077356695,0.261630922643305,0.0187264787020448,0.0187264787020448
3,0.653770028325651,0.346229971674349,0.019382454945284,0.019382454945284
4,0.596173220128075,0.403826779871925,0.0208477567134616,0.0208477567134616
5,0.682266451786001,0.317733548213999,0.0182411061679655,0.0182411061679655
6,0.771149114229929,0.228850885770071,0.0196364723359861,0.0196364723359861
1,0.831025538650132,0.168974461349868,0.0221392143056895,0.0221392143056895
2,0.73143763258118,0.268562367418821,0.0189092923795671,0.0189092923795671
3,0.591459332105968,0.408540667894032,0.0214120377493763,0.0214120377493763
4,0.519399805454174,0.480600194545826,0.0241381492337517,0.0241381492337517
5,0.618154196091111,0.381845803908889,0.0230027232870897,0.0230027232870897
6,0.722312201137553,0.277687798862447,0.0246079914891017,0.0246079914891017
1,0.806870014020693,0.193129985979307,0.0306621545369261,0.0306621545369261
2,0.710330503206201,0.289669496793799,0.0232481929970116,0.0232481929970116
3,0.590786822924453,0.409213177075547,0.0229999273417483,0.0229999273417483
4,0.49235263952291,0.50764736047709,0.026383587769567,0.026383587769567
5,0.553344870650079,0.44665512934992,0.022351889281121,0.022351889281121
6,0.737007706662252,0.262992293337748,0.0197071123810737,0.0197071123810737
1,0.771980557257427,0.228019442742573,0.0468449698349789,0.0468449698349789
2,0.709993023844196,0.290006976155804,0.0256031872888014,0.0256031872888014
3,0.559740735016063,0.440259264983937,0.0223889909590732,0.0223889909590732
4,0.444828415987989,0.555171584012011,0.0242837052014353,0.0242837052014353
5,0.552023940053302,0.447976059946698,0.0263016985605199,0.0263016985605199
6,0.618711229724359,0.381288770275641,0.0228841784074101,0.0228841784074101
1,0.824207804044271,0.175792195955729,0.0469024878899032,0.0469024878899032
2,0.723552016018498,0.276447983981502,0.023616471955886,0.023616471955886
3,0.595882875595089,0.404117124404911,0.0213904922302047,0.0213904922302047
4,0.500877818634156,0.499122181365844,0.0250215501842629,0.0250215501842629
5,0.437545598666294,0.562454401333706,0.0294523306823802,0.0294523306823802
6,0.591391377548983,0.408608622451017,0.0238357904551965,0.0238357904551965
1,0.821631879052839,0.178368120947161,0.0279002118552849,0.0279002118552849
2,0.690593856688641,0.309406143311359,0.0242358372448964,0.0242358372448964
3,0.547553024689969,0.452446975310031,0.01975402936716,0.01975402936716
4,0.454275928648812,0.545724071351189,0.020429760316206,0.020429760316206
5,0.38117685158543,0.61882314841457,0.0204120173103598,0.0204120173103598
6,0.509897949731481,0.490102050268519,0.0247110267277561,0.0247110267277561
1,0.784345618118544,0.215654381881456,0.0380664038910216,0.0380664038910216
2,0.665520721276692,0.334479278723308,0.0227869583713357,0.0227869583713357
3,0.581813863239434,0.418186136760566,0.018580479542064,0.018580479542064
4,0.480053726966335,0.519946273033665,0.0197810943749941,0.0197810943749941
5,0.39568260146924,0.604317398530761,0.0225288615658133,0.0225288615658133
6,0.465222620045396,0.534777379954604,0.027694203437678,0.027694203437678
1,0.846953136640894,0.153046863359106,0.0351615679274363,0.0351615679274363
2,0.642101387625322,0.357898612374678,0.0217740719667088,0.0217740719667088
3,0.56068746580834,0.439312534191661,0.0182214119906942,0.0182214119906942
4,0.472327718212517,0.527672281787483,0.0186683548055318,0.0186683548055318
5,0.377354497412197,0.622645502587803,0.0220442635360493,0.0220442635360493
6,0.429414534656932,0.570585465343068,0.0271374537193419,0.0271374537193419
