nproperties,N
No assets,0.162851393742024
Homeowner,0.571825952726019
2+,0.265322653531956
No assets,0.159201933364702
Homeowner,0.533949740290714
2+,0.306848326344585
No assets,0.146516872118307
Homeowner,0.521703708122812
2+,0.331779419758881
No assets,0.131274081446113
Homeowner,0.503403097645151
2+,0.365322820908736
No assets,0.154585302967638
Homeowner,0.47644956740948
2+,0.368965129622882
No assets,0.189415839960074
Homeowner,0.39287968442881
2+,0.417704475611117
No assets,0.193234105003139
Homeowner,0.400415067833231
2+,0.40635082716363
No assets,0.209070025817082
Homeowner,0.366323593772212
2+,0.424606380410706
